bID,d13C,d15N
b193,-23.322,4.25
b193,-23.68,6.17
b194,-23.106,4.83
b194,-22.754,3.96
b194,-23.102,4.29
b194,-22.76,5.22
b194,-23.418,4.88
b194,-23.556,5.24
b195,-23.126,4.81
b195,-22.844,3.9
b195,-23.132,4.17
b195,-22.86,5.01
b195,-23.078,5.42
b195,-23.476,5.11
b196,-23.614,4.13
b197,-23.146,4.69
b197,-24.054,3.67
b198,-22.776,4.5
b199,-22.516,4.63
b200,-22.696,4.54
b201,-22.726,4.15
b201,-22.734,3.34
b201,-22.26,4.03
b201,-22.698,4.3
b201,-22.786,4.31
b201,-21.06,4.38
b202,-23.006,4.63
b203,-22.866,4.6
b203,-22.894,3.66
b203,-22.782,4.1
b203,-22.51,4.14
b203,-22.998,4.26
b204,-22.686,4.68
b205,-23.036,4.51
b206,-23.006,4.5
b207,-22.926,4.59
b207,-23.284,4.2
b207,-23.16,4.82
b208,-22.606,4.51
b208,-23.254,3.85
b208,-23.298,4.11
b208,-23.516,4.55
b209,-22.682,4.11
b210,-23.446,4.14
b210,-23.204,5.14
b210,-23.342,5.8
b211,-23.204,5.3
b211,-23.182,4.98
b211,-23.33,5.09
b212,-22.824,5.64
b212,-23.182,5.33
b212,-23.71,6.29
b213,-23.114,4.64
b213,-23.152,5.09
b213,-23.19,4.96
b214,-23.124,4.69
b214,-22.992,4.57
b214,-22.848,4.99
b215,-22.924,5.21
b216,-22.804,5.02
b217,-23.624,5.04
b217,-23.402,4.54
b218,-23.664,4.43
b218,-23.522,4.55
b218,-23.358,5.26
b218,-23.336,4.83
b219,-23.684,4.89
b219,-23.422,4.68
b220,-23.114,4.46
b220,-22.91,4.27
b220,-23.178,5.07
b220,-23.546,5.93
b221,-23.344,4.72
b222,-23.024,5.04
b223,-22.914,7.04
b224,-23.394,4.69
b225,-23.414,5.35
b226,-23.302,5.99
b226,-23.19,6.32
b227,-23.402,4.55
b228,-23.212,4.49
b229,-23.462,4.6
b230,-23.102,4.9
b230,-22.93,4.4
b231,-23.142,4.82
b231,-22.98,4.5
b232,-23.322,4.13
b233,-23.302,4.42
b234,-23.262,4.67
b235,-22.832,4.41
b235,-22.968,5.05
b236,-22.792,4.56
b236,-22.876,5.02
b237,-23.192,4.46
b238,-22.842,4.36
b239,-23.272,4.74
b240,-22.922,3.97
b241,-22.932,4.38
b244,-22.942,4.29
b244,-23.036,4.73
b244,-23.07,4.54
b245,-23.742,5.62
b245,-23.29,5.9
b245,-23.458,6.94
b246,-23.452,6.83
b246,-23.9,5.91
b247,-22.55,4.56
b248,-22.51,4.74
b249,-23.41,5.18
b249,-22.888,4.86
b249,-23.046,4.35
b250,-22.51,4.7
b251,-22.52,4.46
b252,-22.49,4.66
b253,-22.49,4.43
b254,-22.76,4.54
b255,-22.77,4.53
b256,-22.73,4.51
b256,-23.102,4.67
b256,-23.31,4.94
b257,-23.03,4.41
b258,-23.24,4.94
b258,-23.44,4.85
b259,-23.17,5
b260,-23.26,4.08
b261,-23.188,6.22
b262,-22.856,4.42
b262,-23.8,5.17
b263,-23.768,5.57
b264,-23.328,5.79
b264,-23.406,4.99
b264,-23.442,5.42
b265,-23.228,5.47
b265,-23.316,5.18
b265,-23.772,5.66
b265,-24.02,6.15
b266,-23.478,5.38
b267,-23.838,5.71
b268,-23.738,5.44
b268,-23.25,4.56
b269,-23.466,4.6
b270,-23.326,6.09
b271,-23.586,5
b272,-23.706,4.81
b273,-23.246,5.46
b274,-23.206,5.66
b274,-23.32,4.75
b275,-23.096,4.8
b275,-23.09,4.83
b276,-23.036,4.83
b277,-23.536,4.99
b278,-23.426,4.86
b279,-22.186,5.3
b280,-21.976,4.66
b281,-22.196,5.01
b282,-22.466,4.62
b283,-22.486,4.8
b284,-22.976,4.61
b285,-23.086,4.52
b286,-23.166,4.7
b287,-23.026,6.35
b288,-23.51,4.36
b289,-22.658,5.57
b290,-23.66,6.09
b291,-24.12,4.66
b292,-23.32,4.6
b293,-23.48,4.73
b294,-22.908,5.94
b294,-23.442,8.39
b294,-22.77,5.06
b294,-22.996,5.6
b294,-22.902,5.81
b294,-22.878,6.36
b294,-23.264,5.35
b295,-22.99,3.92
b295,-22.758,4.19
b295,-22.774,4.21
b295,-22.816,4.22
b296,-22.62,4.69
b296,-22.588,4.99
b296,-22.604,6.1
b297,-23.048,5.13
b297,-22.772,5.17
b297,-23.116,4.39
b297,-23.44,4.75
b298,-22.66,4.29
b298,-22.858,4.98
b299,-23.048,4.44
b299,-22.854,4.82
b299,-22.71,4.72
b299,-22.926,4.65
b299,-23.742,3.89
b300,-22.728,5.03
b300,-22.934,4.41
b300,-22.91,5.1
b301,-22.76,5.84
b301,-22.916,5.85
b301,-22.602,5.75
b301,-22.878,5.53
b302,-22.858,4.25
b302,-22.934,4.19
b303,-23.45,3.26
b303,-23.356,3.92
b303,-23.252,3.92
b303,-23.378,3.99
b304,-23.372,7.25
b304,-23.778,8.42
b304,-23.842,8.39
b305,-22.798,4.66
b305,-23.206,4.09
b305,-22.84,4.29
b305,-22.856,4.6
b305,-23.392,4.46
b306,-22.47,5.37
b306,-22.708,6.6
b306,-22.936,6.19
b307,-23.328,5.37
b308,-23.44,3.54
b309,-22.46,4.58
b309,-22.858,5.37
b310,-23.142,6.73
b310,-23.16,6.72
b310,-22.856,5.59
b310,-23.642,4.49
b310,-23.168,5.57
b310,-23.106,4.87
b310,-23.124,4.82
b310,-22.902,6.18
b311,-22.62,4.36
b311,-22.886,3.8
b312,-22.83,4.47
b312,-23.118,4.79
b312,-22.902,4.77
b312,-23.008,4.59
b312,-23.574,4.48
b313,-22.59,5.17
b313,-22.686,4.26
b313,-22.736,4.34
b313,-22.91,4.25
b313,-22.814,4.08
b314,-22.83,4.68
b314,-22.546,3.99
b314,-22.902,3.87
b314,-22.866,3.2
b315,-22.58,4.42
b315,-22.838,4.78
b315,-23.074,5.41
b315,-22.97,5.17
b315,-22.936,5.18
b315,-23.484,4.98
b316,-22.67,4.95
b316,-23.058,4.94
b316,-22.96,4.58
b316,-22.896,4.88
b317,-22.768,5.73
b318,-23.13,3.96
b318,-22.558,4.55
b318,-22.632,4.89
b318,-22.748,4.47
b318,-22.884,4.7
b318,-23.25,4.41
b318,-23.038,4.82
b318,-23.184,4.08
b318,-23.082,4.52
b318,-22.758,5.02
b318,-23.166,5.18
b319,-22.67,3.73
b319,-22.868,4.23
b319,-22.954,4.05
b319,-23.188,4.11
b319,-22.924,4.38
