bID,repro,yr,d13C,d15N
b264,4,18,-23.406,4.99
b264,1,19,-23.442,5.42
b265,4,17,-23.228,5.47
b265,4,18,-23.316,5.18
b265,1,19,-23.772,5.66
b265,1,20,-24.02,6.15
b266,4,17,-23.478,5.38
b267,2,17,-23.838,5.71
b268,4,17,-23.738,5.44
b268,1,20,-23.25,4.56
b269,2,18,-23.466,4.6
b270,2,18,-23.326,6.09
b271,4,18,-23.586,5
b272,4,18,-23.706,4.81
b273,4,18,-23.246,5.46
b274,4,18,-23.206,5.66
b274,1,20,-23.32,4.75
b275,4,18,-23.096,4.8
b275,1,20,-23.09,4.83
b276,4,18,-23.036,4.83
b277,4,18,-23.536,4.99
b278,4,18,-23.426,4.86
b279,4,18,-22.186,5.3
b280,4,18,-21.976,4.66
b281,4,18,-22.196,5.01
b282,2,18,-22.466,4.62
b283,2,18,-22.486,4.8
b284,4,18,-22.976,4.61
b285,4,18,-23.086,4.52
b286,4,18,-23.166,4.7
b287,2,18,-23.026,6.35
b288,3,20,-23.51,4.36
b289,2,17,-22.658,5.57
b290,1,20,-23.66,6.09
b291,3,20,-24.12,4.66
b292,1,20,-23.32,4.6
b293,4,20,-23.48,4.73
b294,2,2,-22.908,5.94
b294,2,5,-23.442,8.39
b294,2,1,-22.77,5.06
b294,2,3,-22.996,5.6
b294,2,5,-22.902,5.81
b294,2,7,-22.878,6.36
b294,2,9,-23.264,5.35
b295,3,1,-22.99,3.92
b295,1,2,-22.758,4.19
b295,3,4,-22.774,4.21
b295,3,8,-22.816,4.22
b296,3,1,-22.62,4.69
b296,3,2,-22.588,4.99
b296,1,4,-22.604,6.1
b297,3,2,-23.048,5.13
b297,3,5,-22.772,5.17
b297,3,8,-23.116,4.39
b297,3,11,-23.44,4.75
b298,3,1,-22.66,4.29
b298,1,2,-22.858,4.98
b299,3,2,-23.048,4.44
b299,3,4,-22.854,4.82
b299,3,6,-22.71,4.72
b299,3,8,-22.926,4.65
b299,3,10,-23.742,3.89
b300,3,2,-22.728,5.03
b300,3,4,-22.934,4.41
b300,3,6,-22.91,5.1
b301,2,1,-22.76,5.84
b301,2,3,-22.916,5.85
b301,2,5,-22.602,5.75
b301,2,7,-22.878,5.53
b302,3,7,-22.858,4.25
b302,3,9,-22.934,4.19
b303,3,1,-23.45,3.26
b303,3,3,-23.356,3.92
b303,3,5,-23.252,3.92
b303,3,7,-23.378,3.99
b304,2,5,-23.372,7.25
b304,2,7,-23.778,8.42
b304,2,10,-23.842,8.39
b305,1,2,-22.798,4.66
b305,3,3,-23.206,4.09
b305,3,6,-22.84,4.29
b305,3,8,-22.856,4.6
b305,3,10,-23.392,4.46
b306,2,1,-22.47,5.37
b306,2,2,-22.708,6.6
b306,2,3,-22.936,6.19
b307,2,2,-23.328,5.37
b308,3,1,-23.44,3.54
b309,1,1,-22.46,4.58
b309,3,2,-22.858,5.37
b310,2,5,-23.142,6.73
b310,2,6,-23.16,6.72
b310,2,8,-22.856,5.59
b310,2,10,-23.642,4.49
b310,2,12,-23.168,5.57
b310,2,13,-23.106,4.87
b310,2,14,-23.124,4.82
b310,2,15,-22.902,6.18
b311,1,1,-22.62,4.36
b311,3,3,-22.886,3.8
b312,1,1,-22.83,4.47
b312,1,2,-23.118,4.79
b312,3,5,-22.902,4.77
b312,3,7,-23.008,4.59
b312,3,9,-23.574,4.48
b313,1,1,-22.59,5.17
b313,3,3,-22.686,4.26
b313,3,8,-22.736,4.34
b313,3,11,-22.91,4.25
b313,3,14,-22.814,4.08
b314,1,1,-22.83,4.68
b314,3,3,-22.546,3.99
b314,3,5,-22.902,3.87
b314,3,8,-22.866,3.2
b315,2,1,-22.58,4.42
b315,2,2,-22.838,4.78
b315,2,4,-23.074,5.41
b315,2,6,-22.97,5.17
b315,2,8,-22.936,5.18
b315,2,9,-23.484,4.98
b316,2,1,-22.67,4.95
b316,2,2,-23.058,4.94
b316,2,6,-22.96,4.58
b316,2,8,-22.896,4.88
b317,1,2,-22.768,5.73
b318,1,1,-23.13,3.96
b318,1,2,-22.558,4.55
b318,3,5,-22.632,4.89
b318,3,7,-22.748,4.47
b318,1,9,-22.884,4.7
b318,3,11,-23.25,4.41
b318,3,12,-23.038,4.82
b318,3,14,-23.184,4.08
b318,3,15,-23.082,4.52
b318,1,17,-22.758,5.02
b318,3,18,-23.166,5.18
b319,1,1,-22.67,3.73
b319,1,2,-22.868,4.23
b319,3,4,-22.954,4.05
b319,3,7,-23.188,4.11
b319,1,9,-22.924,4.38
b320,2,1,-22.79,3.74
b320,3,5,-22.792,4.97
b320,3,7,-23.168,4.2
b320,3,9,-23.464,3.85
b321,1,1,-22.8,4.52
b321,1,2,-22.798,4.8
b321,3,5,-22.742,4.99
b322,2,1,-22.95,5.21
b322,2,2,-23.088,5.86
b322,2,7,-23.208,6.15
b322,2,9,-23.514,6.2
b323,2,2,-22.898,4.07
b323,2,4,-22.464,4.85
b324,1,1,-23.2,3.64
b324,1,2,-22.718,4.36
b324,1,3,-22.726,4.37
b324,1,4,-22.444,4.74
b325,2,1,-23.56,3.84
b325,2,2,-23.088,4.96
b326,2,1,-23.21,3.4
b326,2,2,-23.658,7.74
b327,1,1,-22.5,4.23
b328,1,2,-22.628,5.13
b328,1,3,-22.986,4.87
b329,4,1,-22.92,4.86
b329,1,2,-22.278,5.12
b330,4,1,-23.13,5.11
b331,4,2,-22.338,4.81
b331,1,3,-22.096,6.16
b332,4,1,-23.66,4.67
b333,4,1,-23.56,4.54
b334,4,1,-23.75,3.79
b335,4,1,-23.61,3.87
b335,2,3,-22.856,4.35
b336,4,1,-23.59,3.99
b336,2,3,-22.926,4.04
b337,2,2,-22.998,4.57
b337,2,3,-22.856,4.16
b337,2,4,-22.894,5.12
b338,4,1,-23.16,4.8
b338,2,2,-22.748,4.43
b338,2,3,-23.016,4.75
b338,2,4,-23.124,5.55
b339,4,1,-23.37,4.44
b340,4,1,-22.87,4.83
b340,2,3,-22.896,4.51
b341,4,1,-22.95,4.48
b341,3,8,-22.586,4.35
b341,3,10,-23.002,3.88
b341,3,12,-23.048,4.95
b341,3,14,-22.854,4.36
b341,3,16,-22.26,4.61
b342,4,2,-23.418,4.77
b343,4,2,-23.428,4.88
b344,4,2,-22.608,5.85
b345,4,2,-23.028,5.66
b345,4,2,-22.848,5.52
b346,4,3,-23.256,4.63
b347,2,3,-23.156,6.38
b348,4,3,-22.876,5.23
b349,4,3,-23.166,4.81
b349,1,6,-22.64,4.3
b349,3,8,-22.766,4.13
b350,4,3,-23.216,4.8
b351,1,4,-22.624,4.54
b351,1,5,-22.542,4.86
b351,3,10,-23.112,4.29
b351,3,12,-23.208,4.63
b352,2,4,-23.124,7.37
b352,2,8,-22.706,4.17
b353,4,3,-23.226,4.51
b354,4,3,-23.166,4.38
b355,2,3,-23.006,5.99
b355,2,4,-23.004,4.53
b355,2,7,-23.248,5.45
b356,4,3,-23.106,4.94
b356,4,3,-22.556,4.6
b356,1,5,-22.602,5.34
b357,4,3,-22.676,5.29
b358,4,3,-22.696,5.3
b358,1,6,-22.8,4.57
b358,3,9,-22.854,3.84
b358,3,12,-22.748,4.17
b358,3,15,-23.052,4.16
b358,1,17,-22.738,5.55
b359,2,4,-22.874,5.84
b360,4,4,-22.874,5.94
b361,3,10,-22.622,4.01
b361,3,13,-22.686,4.07
b361,3,15,-22.702,4.27
b362,3,4,-22.074,5.21
b363,4,4,-21.694,7.33
b364,4,4,-22.484,4.86
b365,4,4,-22.774,4.69
b365,1,5,-22.512,4.46
b366,3,8,-22.906,3.86
b366,3,11,-23.3,4.75
b367,4,4,-22.844,5
b368,4,4,-22.994,4.92
b369,4,4,-22.884,4.79
b370,4,4,-22.974,4.34
b370,1,7,-22.558,4.47
b370,3,9,-22.894,3.67
b370,3,11,-23.22,3.99
b371,4,4,-22.824,4.67
b371,1,7,-22.498,4.37
b371,3,11,-22.69,4.51
b371,3,14,-22.914,4.43
b371,3,18,-23.366,4.58
b372,4,4,-22.904,4.31
b373,2,4,-23.134,5.26
b373,2,7,-23.058,5.06
b373,2,8,-22.826,4.87
b374,2,4,-22.894,4.85
b375,4,4,-22.734,5.1
b375,2,5,-22.772,5
b375,2,6,-23.12,5.13
b375,2,7,-22.448,5.66
b376,4,4,-22.784,5.26
b377,4,4,-22.784,5.07
b377,2,5,-23.212,5.16
b378,2,4,-23.024,5.98
b378,2,5,-23.062,6.14
b378,2,5,-23.132,4.93
