d13C,d15N
-23.586,5
-23.706,4.81
-23.246,5.46
-23.206,5.66
-23.32,4.75
-23.096,4.8
-23.09,4.83
-23.036,4.83
-23.536,4.99
-23.426,4.86
-22.186,5.3
-21.976,4.66
-22.196,5.01
-22.466,4.62
-22.486,4.8
-22.976,4.61
-23.086,4.52
-23.166,4.7
-23.026,6.35
-23.51,4.36
-22.658,5.57
-23.66,6.09
-24.12,4.66
-23.32,4.6
-23.48,4.73
-22.908,5.94
-23.442,8.39
-22.77,5.06
-22.996,5.6
-22.902,5.81
-22.878,6.36
-23.264,5.35
-22.99,3.92
-22.758,4.19
-22.774,4.21
-22.816,4.22
-22.62,4.69
-22.588,4.99
-22.604,6.1
-23.048,5.13
-22.772,5.17
-23.116,4.39
-23.44,4.75
-22.66,4.29
-22.858,4.98
-23.048,4.44
-22.854,4.82
-22.71,4.72
-22.926,4.65
-23.742,3.89
-22.728,5.03
-22.934,4.41
-22.91,5.1
-22.76,5.84
-22.916,5.85
-22.602,5.75
-22.878,5.53
-22.858,4.25
-22.934,4.19
-23.45,3.26
-23.356,3.92
-23.252,3.92
-23.378,3.99
-23.372,7.25
-23.778,8.42
-23.842,8.39
-22.798,4.66
-23.206,4.09
-22.84,4.29
-22.856,4.6
-23.392,4.46
-22.47,5.37
-22.708,6.6
-22.936,6.19
-23.328,5.37
-23.44,3.54
-22.46,4.58
-22.858,5.37
-23.142,6.73
-23.16,6.72
-22.856,5.59
-23.642,4.49
-23.168,5.57
-23.106,4.87
-23.124,4.82
-22.902,6.18
-22.62,4.36
-22.886,3.8
-22.83,4.47
-23.118,4.79
-22.902,4.77
-23.008,4.59
-23.574,4.48
-22.59,5.17
-22.686,4.26
-22.736,4.34
-22.91,4.25
-22.814,4.08
-22.83,4.68
-22.546,3.99
-22.902,3.87
-22.866,3.2
-22.58,4.42
-22.838,4.78
-23.074,5.41
-22.97,5.17
-22.936,5.18
-23.484,4.98
-22.67,4.95
-23.058,4.94
-22.96,4.58
-22.896,4.88
-22.768,5.73
-23.13,3.96
-22.558,4.55
-22.632,4.89
-22.748,4.47
-22.884,4.7
-23.25,4.41
-23.038,4.82
-23.184,4.08
-23.082,4.52
-22.758,5.02
-23.166,5.18
-22.67,3.73
-22.868,4.23
-22.954,4.05
-23.188,4.11
-22.924,4.38
-22.79,3.74
-22.792,4.97
-23.168,4.2
-23.464,3.85
-22.8,4.52
-22.798,4.8
-22.742,4.99
-22.95,5.21
-23.088,5.86
-23.208,6.15
-23.514,6.2
-22.898,4.07
