"","sampleID","BearID","pubname","year.sampled","year.represent","bearyear.sampled","bearyear.represent","sex","birth","age","reprostatus.represent","C13","N15","trophicpos","weight","headcirc","capturedate","Cmonth","cort.kit","cortisol","C13.suess","fYR"
"685","372","W9505","Vrang-ola",2004,2003,"W9505_2004","W9505_2003","M","1988","16","SolitaryM",-23.25,6.2,"3.29","228","83",2004-04-30,"4","1","3.71",-23.514,"2003"
"686","20","W9506","Kanis",1997,1996,"W9506_1997","W9506_1996","M","1994","3","SolitaryM",-22.48,4.07,"2.67","53","50",1997-04-29,"4","1","1.74",-22.898,"1996"
"687","163","W9506","Kanis",1999,1998,"W9506_1999","W9506_1998","M","1994","5","SolitaryM",-22.09,4.85,"2.9","134","67",1999-04-09,"4","1","1.1000000000000001",-22.464,"1998"
"688","57","W9507","Riga",1996,1995,"W9507_1996","W9507_1995","F","1994","2","SolitaryF",-22.76,3.64,"2.54","28","42",1996-04-22,"4","1","3.36",-23.2,"1995"
"689","21","W9507","Riga",1997,1996,"W9507_1997","W9507_1996","F","1994","3","SolitaryF",-22.3,4.36,"2.75","43","44",1997-04-29,"4","1","1.62",-22.718,"1996"
"690","134","W9507","Riga",1998,1997,"W9507_1998","W9507_1997","F","1994","4","SolitaryF",-22.33,4.37,"2.76","65","54",1998-04-27,"4","1","1.1399999999999999",-22.726,"1997"
"691","164","W9507","Riga",1999,1998,"W9507_1999","W9507_1998","F","1994","5","SolitaryF",-22.07,4.74,"2.86","82","59",1999-04-12,"4","1","1.77",-22.444,"1998"
"692","58","W9508","Läfto",1996,1995,"W9508_1996","W9508_1995","M","1994","2","SolitaryM",-23.12,3.84,"2.6","42","49",1996-04-12,"4","1","3.28",-23.56,"1995"
"693","22","W9508","Läfto",1997,1996,"W9508_1997","W9508_1996","M","1994","3","SolitaryM",-22.67,4.96,"2.93","96.5","58",1997-04-10,"4","1","1.59",-23.088,"1996"
"694","60","W9510","Palo",1996,1995,"W9510_1996","W9510_1995","M","1994","2","SolitaryM",-22.77,3.4,"2.4700000000000002","44","48",1996-04-13,"4","1","2.44",-23.21,"1995"
"695","23","W9510","Palo",1997,1996,"W9510_1997","W9510_1996","M","1994","3","SolitaryM",-23.24,7.74,"3.75","77","53",1997-05-30,"5","1","1.33",-23.658,"1996"
"696","61","W9511","Riita",1996,1995,"W9511_1996","W9511_1995","F","1985","11","SolitaryF",-22.06,4.23,"2.71","99","62",1996-07-09,"7","1","1.0900000000000001",-22.5,"1995"
"697","24","W9601","Jölla",1997,1996,"W9601_1997","W9601_1996","F","1995","2","SolitaryF",-22.21,5.13,"2.98","41","46",1997-04-16,"4","1","1.37",-22.628,"1996"
"698","136","W9601","Jölla",1998,1997,"W9601_1998","W9601_1997","F","1995","3","SolitaryF",-22.59,4.87,"2.9","72","54",1998-04-08,"4","1","1.47",-22.986,"1997"
"699","63","W9602","Myra",1996,1995,"W9602_1996","W9602_1995","F","1995","1","WithMother",-22.48,4.86,"2.9","18","39",1996-04-12,"4","1","2.8",-22.92,"1995"
"700","25","W9602","Myra",1997,1996,"W9602_1997","W9602_1996","F","1995","2","SolitaryF",-21.86,5.12,"2.98","45","45",1997-04-16,"4","1","0.67",-22.278,"1996"
"701","64","W9603","Mossi_k4:1",1996,1995,"W9603_1996","W9603_1995","M","1995","1","WithMother",-22.69,5.11,"2.97","26.5","41",1996-04-19,"4","1","2.65",-23.13,"1995"
"702","26","W9605","Pila",1997,1996,"W9605_1997","W9605_1996","F","1995","2","WithMother",-21.92,4.81,"2.89","53","47",1997-04-28,"4","1","0.68",-22.338,"1996"
"703","137","W9605","Pila",1998,1997,"W9605_1998","W9605_1997","F","1995","3","SolitaryF",-21.7,6.16,"3.28","64","57",1998-04-27,"4","1","0.8",-22.096,"1997"
"704","66","W9606","Koska_k1:1",1996,1995,"W9606_1996","W9606_1995","F","1995","1","WithMother",-23.22,4.67,"2.84","21","41",1996-04-20,"4","1","2.92",-23.66,"1995"
"705","67","W9607","Koska_k1:2",1996,1995,"W9607_1996","W9607_1995","F","1995","1","WithMother",-23.12,4.54,"2.81","21","40",1996-04-20,"4","1","2.73",-23.56,"1995"
"706","68","W9608","Granfjällbjörn",1996,1995,"W9608_1996","W9608_1995","M","1995","1","WithMother",-23.31,3.79,"2.59","24","40",1996-04-20,"4","1","3.25",-23.75,"1995"
"707","69","W9609","Syndalsbjörn",1996,1995,"W9609_1996","W9609_1995","M","1995","1","WithMother",-23.17,3.87,"2.61","23","40",1996-04-20,"4","1","3.55",-23.61,"1995"
"708","139","W9609","Syndalsbjörn",1998,1997,"W9609_1998","W9609_1997","M","1995","3","SolitaryM",-22.46,4.35,"2.75","73","56",1998-04-15,"4","1","2",-22.856,"1997"
"709","70","W9610","Öjskogsbjörn",1996,1995,"W9610_1996","W9610_1995","M","1995","1","WithMother",-23.15,3.99,"2.64","26","42",1996-04-20,"4","1","4.1100000000000003",-23.59,"1995"
"710","140","W9610","Öjskogsbjörn",1998,1997,"W9610_1998","W9610_1997","M","1995","3","SolitaryM",-22.53,4.04,"2.66","71","56",1998-04-15,"4","1","1.85",-22.926,"1997"
"711","28","W9611","Männiku",1997,1996,"W9611_1997","W9611_1996","M","1995","2","SolitaryM",-22.58,4.57,"2.81","33","44",1997-04-29,"4","1","2.65",-22.998,"1996"
"712","141","W9611","Männiku",1998,1997,"W9611_1998","W9611_1997","M","1995","3","SolitaryM",-22.46,4.16,"2.69","61","52",1998-04-06,"4","1","2.06",-22.856,"1997"
"713","165","W9611","Männiku",1999,1998,"W9611_1999","W9611_1998","M","1995","4","SolitaryM",-22.52,5.12,"2.98","NA","61",1999-08-21,"8","1","3.5",-22.894,"1998"
"714","71","W9612","Hauku",1996,1995,"W9612_1996","W9612_1995","M","1995","1","WithMother",-22.72,4.8,"2.88","28","43",1996-04-21,"4","1","2.54",-23.16,"1995"
"715","29","W9612","Hauku",1997,1996,"W9612_1997","W9612_1996","M","1995","2","SolitaryM",-22.33,4.43,"2.77","49.5","50",1997-04-29,"4","1","2.5",-22.748,"1996"
"716","142","W9612","Hauku",1998,1997,"W9612_1998","W9612_1997","M","1995","3","SolitaryM",-22.62,4.75,"2.87","81","59",1998-04-08,"4","1","1.98",-23.016,"1997"
