sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
621,W1310,Svukka,2013,2012,W1310_2013,W1310_2012,F,2012,1,WithMother,-21.91,4.66,2.84,18.5,41,4/30/2013,4,2,9.72
622,W1311,Tveknippa,2013,2012,W1311_2013,W1311_2012,F,2012,1,WithMother,-22.13,5.01,2.94,17,37,4/30/2013,4,2,6.95
623,W1312,Läfmamäck,2013,2012,W1312_2013,W1312_2012,M,2008,5,SolitaryM,-22.4,4.62,2.83,89,58,5/14/2013,5,2,8.82
NA,W1312,Läfmamäck,2014,2013,W1312_2014,W1312_2013,M,2008,6,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1312,Läfmamäck,2015,2014,W1312_2015,W1312_2014,M,2008,7,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
624,W1313,Hindrika,2013,2012,W1313_2013,W1313_2012,F,2004,9,NA,-22.38,4.61,2.83,85,62,5/15/2013,5,2,5.93
NA,W1313,Hindrika,2014,2013,W1313_2014,W1313_2013,F,2004,10,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
625,W1314,Risslo,2013,2012,W1314_2013,W1314_2012,M,2009,4,SolitaryM,-22.42,4.8,2.88,118,68,5/15/2013,5,2,5.14
NA,W1314,Risslo,2014,2013,W1314_2014,W1314_2013,M,2009,5,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1314,Risslo,2015,2014,W1314_2015,W1314_2014,M,2009,6,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
NA,W1314,Risslo,2016,2015,W1314_2016,W1314_2015,M,2009,7,SolitaryM,NA,NA,NA,NA,NA,NA,13,NA,NA
626,W1315,Roudina,2013,2012,W1315_2013,W1315_2012,F,2012,1,WithMother,-22.91,4.61,2.83,15,38,5/22/2013,5,2,8.01
627,W1316,Token,2013,2012,W1316_2013,W1316_2012,M,2012,1,WithMother,-23.02,4.52,2.8,17,40,5/22/2013,5,2,9.81
628,W1317,Silå,2013,2012,W1317_2013,W1317_2012,M,2012,1,WithMother,-23.1,4.7,2.85,15.5,40,5/22/2013,5,2,7.77
629,W1318,Rajtola,2013,2012,W1318_2013,W1318_2012,M,2005,8,SolitaryM,-22.96,6.35,3.34,173.5,72,5/29/2013,5,2,4.89
